Cheftestant,Hometown,chef_url,status,Week,qf_win,qf_top3,qf_points,elim_win,elim_top3,elim_middle,elim_bottom,eliminated,elim_points,lck_win,lck_loss,lck_points,weekly_points
Gabe Erales,"Austin, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabe-erales.jpg,,1,,,0,,1,,,,5,,,0,5
Nelson German,"Oakland, CA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-nelson-german.jpg,,1,,,0,,,1,,,2,,,0,2
Byron Gomez,"Aspen, CO",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-byron-gomez.jpg,,1,,,0,,,1,,,2,,,0,2
Sasha Grumman,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sasha-grumman.jpg,,1,,1,1,,,,1,,0,,,0,1
Roscoe Hall,"Birmingham, AL",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-roscoe-hall.jpg,LCK,1,,,0,,,,,1,-5,,,0,-5
Sara Hauman,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sara-hauman_0.jpg,,1,,1,1,1,,,,,10,,,0,11
Kiki Louya,"Detroit, MI",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-kiki-louya.jpg,,1,,1,1,,,1,,,2,,,0,3
Maria Mazon,"Tucson, AZ",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-maria-mazon.jpg,,1,,,0,,,1,,,2,,,0,2
Shota Nakajima,"Seattle, WA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-shota-nakajima.jpg,,1,,,0,,1,,,,5,,,0,5
Gabriel Pascuzzi,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabriel-pascuzzi.jpg,,1,,,0,,1,,,,5,,,0,5
Jamie Tran,"Las Vegas, NV",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-jamie-tran.jpg,,1,,,0,,,,1,,0,,,0,0
Chris Viaud,"Milford, NH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-chris-viaud.jpg,,1,,,0,,,1,,,2,,,0,2
Brittany Anderson,"Richmond, VA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-brittanny-anderson.jpg,,2,,1,1,,,,1,,0,,,0,1
Avishar Barua,"Columbus, OH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-avishar-barua.jpg,,2,,,0,1,,,,,10,,,0,10
Dawn Burrell,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-dawn-burrell.jpg,,2,,,0,,1,,,,5,,,0,5
Gabe Erales,"Austin, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabe-erales.jpg,,2,,1,1,,1,,,,5,,,0,6
Nelson German,"Oakland, CA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-nelson-german.jpg,,2,,,0,,,1,,,2,,,0,2
Byron Gomez,"Aspen, CO",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-byron-gomez.jpg,,2,,,0,,1,,,,5,,,0,5
Sasha Grumman,"Houston, TX",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sasha-grumman.jpg,LCK,2,,1,1,,,,,1,-5,1,,1,-3
Roscoe Hall,"Birmingham, AL",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-roscoe-hall.jpg,ELIMINATED,2,,,0,,,,,,0,,1,-1,-1
Sara Hauman,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-sara-hauman_0.jpg,,2,,,0,,1,,,,5,,,0,5
Kiki Louya,"Detroit, MI",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-kiki-louya.jpg,,2,,,0,,,1,,,2,,,0,2
Maria Mazon,"Tucson, AZ",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-maria-mazon.jpg,,2,,,0,,,1,,,2,,,0,2
Shota Nakajima,"Seattle, WA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-shota-nakajima.jpg,,2,,1,1,1,,,,,10,,,0,11
Gabriel Pascuzzi,"Portland, OR",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-gabriel-pascuzzi.jpg,,2,,1,1,,1,,,,5,,,0,6
Jamie Tran,"Las Vegas, NV",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-jamie-tran.jpg,,2,1,,3,,,1,,,2,,,0,5
Chris Viaud,"Milford, NH",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-chris-viaud.jpg,,2,,1,1,,1,,,,5,,,0,6
Brittany Anderson,"Richmond, VA",https://www.bravotv.com/sites/bravo/files/styles/cast-detail--tablet-1_5x/public/2021/02/top-chef-season-18-bodyshot-brittanny-anderson.jpg,ELIMINATED,3,,,0,,,,,1,-5,,1,-1,-6
